district,locality,price_raw,price_num,area_raw,area_sqft,price_per_sqft,price_per_sqft_calc,cents,price_per_cent
alappuzha,Kalavoor,₹57.75 Lac,5775000,"1,42,000 sqft",142000,,40.66901408,325.9871442,17715.42254
alappuzha,Cherthala,₹45 Lac,4500000,"4,791 sqft",4791,,939.2611146,10.99862259,409142.1415
alappuzha,Nadubhagam,₹1.5 Cr,15000000,"5,575 sqft",5575,,2690.58296,12.79843893,1172017.937
alappuzha,Ambalapuzha,₹38 Lac,3800000,"3,484 sqft",3484,,1090.700344,7.998163453,475109.07
alappuzha,Bernad Junction,₹33.25 Lac,3325000,"4,138 sqft",4138,,803.5282745,9.499540863,350016.9164
alappuzha,Komalapuram,₹33 Lac,3300000,"4,359 sqft",4359,,757.0543703,10.00688705,329772.8837
alappuzha,Pazhaveedu,₹52 Lac,5200000,"3,920 sqft",3920,,1326.530612,8.999081726,577836.7347
alappuzha,Kalavoor,₹1.7 Cr,17000000,"8,712 sqft",8712,,1951.331497,20,850000
alappuzha,Kayamkulam,₹54.25 Lac,5425000,"6,751 sqft",6751,,803.5846541,15.49816345,350041.4753
alappuzha,Cherthala,₹1.35 Cr,13500000,"21,780 sqft",21780,,619.8347107,50,270000
alappuzha,Karuvatta,₹5 Cr,50000000,"43,560 sqft",43560,,1147.842057,100,500000
alappuzha,Kalarcode,₹90 Lac,9000000,"5,445 sqft",5445,,1652.892562,12.5,720000
alappuzha,Pathiyoor,₹20 Lac,2000000,"4,356 sqft",4356,,459.1368228,10,200000
alappuzha,Chettikulangara,₹47.5 Lac,4750000,"8,929 sqft",8929,,531.9744652,20.49816345,231728.0771
alappuzha,Chengannur,₹50 Lac,5000000,"8,712 sqft",8712,,573.9210285,20,250000
alappuzha,Kuttemperoor,₹3.1 Cr,31000000,"40,946 sqft",40946,,757.0947101,93.99908173,329790.4557
alappuzha,Kattanam,₹40 Lac,4000000,"4,356 sqft",4356,,918.2736455,10,400000
alappuzha,Cherthala,₹60.75 Lac,6075000,"5,880 sqft",5880,,1033.163265,13.49862259,450045.9184
alappuzha,Ezhupunna,₹96 Lac,9600000,12 sqft,12,,800000,0.027548209,348480000
alappuzha,Thakazhy,₹2.4 Cr,24000000,"52,272 sqft",52272,,459.1368228,120,200000
alappuzha,Haripad,₹65 Lac,6500000,"5,227 sqft",5227,,1243.543141,11.99954086,541687.3924
alappuzha,Mavelikara,₹27.5 Lac,2750000,"4,791 sqft",4791,,573.9929034,10.99862259,250031.3087
alappuzha,Mavelikara,₹75 Lac,7500000,"13,068 sqft",13068,,573.9210285,30,250000
alappuzha,Cherthala,₹1.31 Cr,13100000,"16,313 sqft",16313,,803.0405198,37.44949495,349804.4504
alappuzha,Kanjikuzhy,₹75 Lac,7500000,"6,795 sqft",6795,,1103.752759,15.59917355,480794.702
alappuzha,Mavelikara,₹16 Lac,1600000,"4,356 sqft",4356,,367.3094582,10,160000
alappuzha,Chengannur,₹21 Lac,2100000,"2,831 sqft",2831,,741.7873543,6.499081726,323122.5715
alappuzha,Cherthala,₹38.5 Lac,3850000,"4,791 sqft",4791,,803.5900647,10.99862259,350043.8322
alappuzha,Haripad,₹3.35 Lac,335000,"13,500 sqft",13500,,24.81481481,30.99173554,10809.33333
alappuzha,Arthunkal,₹5 Cr,50000000,"32,670 sqft",32670,,1530.456076,75,666666.6667
alappuzha,Kudassanad,₹1.13 Cr,11300000,"49,222 sqft",49222,,229.5721425,112.9981635,100001.6253
alappuzha,Chengannur,₹40 Lac,4000000,"8,750 sqft",8750,,457.1428571,20.087236,199131.4286
alappuzha,Chengannur,₹16 Lac,1600000,"3,484 sqft",3484,,459.2422503,7.998163453,200045.9242
alappuzha,Nooranad,₹75 Lac,7500000,"15,246 sqft",15246,,491.9323101,35,214285.7143
alappuzha,Mararikulam,₹45 Lac,4500000,"5,445 sqft",5445,,826.446281,12.5,360000
alappuzha,Aryad South,₹45 Lac,4500000,"5,445 sqft",5445,,826.446281,12.5,360000
alappuzha,Kizhakke NadaKizhakke Nada,₹1.75 Cr,17500000,"5,445 sqft",5445,,3213.957759,12.5,1400000
alappuzha,Thuravoor,₹12 Lac,1200000,"5,227 sqft",5227,,229.5771953,11.99954086,100003.8263
